prompt_strategy,sentences_per_prompt,overlap,total_triples,unique_s,unique_p,unique_o,bad_triples
PromptStrategy.PREVIOUS_SENTENCES,10,5,25.44,10.68,15.17,21.7,0.13
PromptStrategy.PREVIOUS_SENTENCES,10,6,26.42,11.12,15.21,22.63,0.11
PromptStrategy.PREVIOUS_SENTENCES,10,7,27.49,12.09,16.25,23.14,0.27
PromptStrategy.PREVIOUS_SENTENCES,10,8,27.86,11.66,16.73,23.38,0.09
PromptStrategy.PREVIOUS_SENTENCES,10,9,28.09,12.82,17.35,23.89,0.09
PromptStrategy.SECTION_AS_CONTEXT,1,0,36.91,18.64,24.11,32.69,0.03
PromptStrategy.SECTION_AS_CONTEXT,2,0,30.55,14.86,20.39,27.08,0.07
PromptStrategy.SECTION_AS_CONTEXT,3,0,27.89,13.09,17.86,24.94,0.08
PromptStrategy.SECTION_AS_CONTEXT,4,0,25.94,11.93,16.81,23.21,0.11
PromptStrategy.SECTION_AS_CONTEXT,5,0,25.26,11.92,16.13,22.29,0.03
PromptStrategy.SECTION_AS_CONTEXT,6,0,22.89,10.89,14.33,20.22,0.1
PromptStrategy.SECTION_AS_CONTEXT,7,0,23.21,11.43,14.59,20.31,0.04
PromptStrategy.SECTION_AS_CONTEXT,8,0,22.7,10.65,14.21,20.14,0.04
PromptStrategy.SECTION_AS_CONTEXT,9,0,21.09,9.59,13.07,18.73,0.24
PromptStrategy.SECTION_AS_CONTEXT,10,0,20.64,9.84,12.93,18.17,0.08
PromptStrategy.SECTION_CONTENTS,0,0,14.42125,6.05,8.65,12.78625,0.0825
