prompt_strategy,sentences_per_prompt,overlap,total_triples,unique_s,unique_p,unique_o,bad_triples
PromptStrategy.PREVIOUS_SENTENCES,6.0,3.0,55.41,19.48,29.22,39.56,0.37
PromptStrategy.PREVIOUS_SENTENCES,6.0,4.0,69.31,21.85,33.87,46.61,0.36
PromptStrategy.PREVIOUS_SENTENCES,6.0,5.0,82.88,24.0,40.39,52.9,0.42
PromptStrategy.PREVIOUS_SENTENCES,7.0,0.0,36.04,14.79,21.52,29.74,0.25
PromptStrategy.PREVIOUS_SENTENCES,7.0,1.0,36.12,14.62,20.8,29.07,0.47
PromptStrategy.PREVIOUS_SENTENCES,7.0,2.0,40.2,15.78,22.34,30.9,0.18
PromptStrategy.PREVIOUS_SENTENCES,7.0,3.0,44.0,17.4,23.98,33.2,0.36
PromptStrategy.PREVIOUS_SENTENCES,7.0,4.0,56.43,18.52,28.88,40.48,0.47
PromptStrategy.PREVIOUS_SENTENCES,7.0,5.0,66.17,20.51,32.39,44.63,0.34
PromptStrategy.PREVIOUS_SENTENCES,7.0,6.0,76.14,22.61,37.47,49.57,0.4
PromptStrategy.PREVIOUS_SENTENCES,8.0,0.0,35.64,13.64,19.99,29.22,0.2
PromptStrategy.PREVIOUS_SENTENCES,8.0,1.0,34.88,14.16,20.26,27.99,0.58
PromptStrategy.PREVIOUS_SENTENCES,8.0,2.0,36.78,14.95,20.92,29.67,0.37
PromptStrategy.PREVIOUS_SENTENCES,8.0,3.0,40.43,15.79,22.69,31.92,0.19
PromptStrategy.PREVIOUS_SENTENCES,8.0,4.0,45.54,16.74,24.49,34.57,0.23
PromptStrategy.PREVIOUS_SENTENCES,8.0,5.0,50.37,17.7,27.54,38.29,0.19
PromptStrategy.PREVIOUS_SENTENCES,8.0,6.0,57.59,18.97,29.74,39.99,0.16
PromptStrategy.PREVIOUS_SENTENCES,8.0,7.0,74.86,23.0,36.7,48.7,0.44
PromptStrategy.PREVIOUS_SENTENCES,9.0,0.0,33.2,13.23,19.43,27.63,0.08
PromptStrategy.PREVIOUS_SENTENCES,9.0,1.0,29.9,12.33,17.93,24.89,0.14
PromptStrategy.PREVIOUS_SENTENCES,9.0,2.0,35.13,13.26,18.87,28.2,0.25
PromptStrategy.PREVIOUS_SENTENCES,9.0,3.0,35.47,13.87,20.29,28.38,0.22
PromptStrategy.PREVIOUS_SENTENCES,9.0,4.0,40.59,15.13,21.95,31.33,0.28
PromptStrategy.PREVIOUS_SENTENCES,9.0,5.0,46.86,15.02,24.52,34.86,1.25
PromptStrategy.PREVIOUS_SENTENCES,9.0,6.0,52.17,16.8,26.58,37.09,0.29
PromptStrategy.PREVIOUS_SENTENCES,9.0,7.0,55.22,17.2,27.64,38.39,0.22
PromptStrategy.PREVIOUS_SENTENCES,9.0,8.0,63.2,20.19,32.75,42.86,0.55
PromptStrategy.PREVIOUS_SENTENCES,10.0,0.0,32.17,12.14,18.14,26.71,0.22
PromptStrategy.PREVIOUS_SENTENCES,10.0,1.0,30.53,11.79,17.32,24.05,0.18
PromptStrategy.PREVIOUS_SENTENCES,10.0,2.0,30.04,11.94,17.32,24.64,0.17
PromptStrategy.PREVIOUS_SENTENCES,10.0,3.0,34.32,13.95,20.23,26.45,0.13
PromptStrategy.PREVIOUS_SENTENCES,10.0,4.0,37.81,14.1,19.71,29.61,0.16
PromptStrategy.PREVIOUS_SENTENCES,10.0,5.0,39.31,14.84,22.48,30.61,0.2
PromptStrategy.PREVIOUS_SENTENCES,10.0,6.0,42.89,16.22,23.52,32.46,0.21
PromptStrategy.PREVIOUS_SENTENCES,10.0,7.0,49.01,15.68,24.65,35.28,0.58
PromptStrategy.PREVIOUS_SENTENCES,10.0,8.0,51.73,16.85,27.82,36.98,0.47
PromptStrategy.PREVIOUS_SENTENCES,10.0,9.0,55.91,18.66,29.52,39.77,0.37
PromptStrategy.SECTION_CONTENTS,0.0,0.0,21.26,8.52,11.97,17.96,0.21
