prompt_strategy,sentences_per_prompt,overlap,total_triples,unique_s,unique_p,unique_o,bad_triples
PromptStrategy.PREVIOUS_SENTENCES,8.0,3.0,24.62,12.05,19.72,22.42,0.17
PromptStrategy.PREVIOUS_SENTENCES,8.0,4.0,26.16,12.53,20.26,23.23,0.21
PromptStrategy.PREVIOUS_SENTENCES,8.0,5.0,28.28,13.8,21.85,25.07,0.15
PromptStrategy.PREVIOUS_SENTENCES,8.0,6.0,31.72,15.09,23.7,27.55,0.16
PromptStrategy.PREVIOUS_SENTENCES,8.0,7.0,33.76,16.05,25.23,29.1,0.22
PromptStrategy.PREVIOUS_SENTENCES,9.0,0.0,22.72,11.98,18.14,21.17,0.02
PromptStrategy.PREVIOUS_SENTENCES,9.0,1.0,20.8,10.34,16.71,19.07,0.2
PromptStrategy.PREVIOUS_SENTENCES,9.0,2.0,21.01,11.14,16.83,19.26,0.3
PromptStrategy.PREVIOUS_SENTENCES,9.0,3.0,22.69,12.0,17.76,20.72,0.05
PromptStrategy.PREVIOUS_SENTENCES,9.0,4.0,24.79,12.33,19.72,22.25,0.08
PromptStrategy.PREVIOUS_SENTENCES,9.0,5.0,25.53,12.52,20.12,22.93,0.12
PromptStrategy.PREVIOUS_SENTENCES,9.0,6.0,27.48,13.56,21.15,24.09,0.26
PromptStrategy.PREVIOUS_SENTENCES,9.0,7.0,29.53,14.53,23.25,25.78,0.29
PromptStrategy.PREVIOUS_SENTENCES,9.0,8.0,32.61,16.06,25.44,28.17,0.18
PromptStrategy.PREVIOUS_SENTENCES,10.0,0.0,20.92,10.89,17.09,19.38,0.15
PromptStrategy.PREVIOUS_SENTENCES,10.0,1.0,20.17,10.32,16.45,18.73,0.19
PromptStrategy.PREVIOUS_SENTENCES,10.0,2.0,19.77,10.08,15.95,18.33,0.07
PromptStrategy.PREVIOUS_SENTENCES,10.0,3.0,20.93,10.89,16.96,18.9,0.15
PromptStrategy.PREVIOUS_SENTENCES,10.0,4.0,22.35,11.29,17.82,20.44,0.09
PromptStrategy.PREVIOUS_SENTENCES,10.0,5.0,22.37,11.42,17.94,20.12,0.23
PromptStrategy.PREVIOUS_SENTENCES,10.0,6.0,24.2,12.11,19.03,21.5,0.18
PromptStrategy.PREVIOUS_SENTENCES,10.0,7.0,25.27,12.23,19.74,22.2,0.21
PromptStrategy.PREVIOUS_SENTENCES,10.0,8.0,26.71,13.02,20.82,23.49,0.09
PromptStrategy.PREVIOUS_SENTENCES,10.0,9.0,31.68,14.58,23.96,27.46,0.23
PromptStrategy.SECTION_CONTENTS,0,0,12.9061538461538,6.57769230769231,10.4838461538462,11.9569230769231,0.105384615384615
