n_samples,prompt_strategy,sentences_per_prompt,overlap,paper_id,total_triples,unique_s,unique_p,unique_o,bad_triples
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0020106,13.0,10.0,13.0,13.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.1002593,10.0,8.0,10.0,9.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0020097,11.0,6.0,8.0,11.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0050138,15.0,9.0,13.0,15.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0020312,7.0,4.0,7.0,7.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0040379,10.0,10.0,10.0,10.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0060280,21.0,13.0,21.0,21.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.1002564,7.0,1.0,6.0,7.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0040204,15.0,5.0,14.0,15.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0060301,18.0,8.0,12.0,15.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.1001041,24.0,6.0,14.0,23.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0040140,8.0,2.0,6.0,8.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0030380,6.0,2.0,4.0,6.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.2006352,13.0,6.0,13.0,12.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.1000536,0.0,0.0,0.0,0.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.3000970,15.0,13.0,11.0,13.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.1001518,17.0,14.0,17.0,17.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.1000313,8.0,1.0,8.0,8.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0040088,11.0,1.0,11.0,11.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0060079,12.0,11.0,10.0,11.0,1.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.1001293,18.0,12.0,18.0,18.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0050077,16.0,3.0,8.0,8.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.1000582,10.0,1.0,10.0,10.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0050184,12.0,2.0,1.0,6.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0050008,21.0,8.0,21.0,19.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0030085,12.0,6.0,9.0,12.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0040286,23.0,1.0,7.0,23.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0000005,19.0,1.0,11.0,19.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0020329,8.0,8.0,7.0,8.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.1000285,14.0,8.0,12.0,14.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0030422,10.0,2.0,8.0,10.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0050310,14.0,3.0,14.0,14.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.1000298,17.0,9.0,16.0,15.0,1.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.1000506,26.0,2.0,8.0,11.0,10.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0050157,17.0,16.0,15.0,15.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.1001247,12.0,12.0,9.0,10.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.1000564,17.0,14.0,17.0,17.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0030157,11.0,2.0,11.0,11.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0030092,10.0,7.0,7.0,9.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0030045,10.0,3.0,10.0,9.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.3001358,11.0,4.0,6.0,11.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0020057,6.0,4.0,4.0,6.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0000045,22.0,3.0,22.0,19.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.1001135,11.0,7.0,8.0,11.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0060014,22.0,11.0,19.0,19.0,1.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.2001104,21.0,10.0,16.0,19.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.1001613,17.0,16.0,16.0,17.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0020340,11.0,7.0,8.0,10.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0020421,8.0,2.0,8.0,8.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0020424,5.0,4.0,5.0,5.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.2000106,13.0,8.0,12.0,13.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.2002266,14.0,4.0,8.0,12.0,2.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0030170,0.0,0.0,0.0,0.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.2003648,9.0,9.0,7.0,8.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0060025,8.0,6.0,8.0,8.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.1001823,0.0,0.0,0.0,0.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.1000131,0.0,0.0,0.0,0.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0040360,13.0,13.0,13.0,12.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0030314,4.0,4.0,4.0,4.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0040309,10.0,9.0,9.0,10.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.1001871,15.0,10.0,14.0,14.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.1000451,13.0,1.0,13.0,13.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0040415,12.0,11.0,11.0,12.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.1001569,16.0,10.0,13.0,10.0,3.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.2003703,14.0,3.0,13.0,14.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.1000124,15.0,10.0,14.0,13.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0030176,12.0,10.0,12.0,12.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0030283,11.0,5.0,10.0,11.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.2000862,7.0,1.0,5.0,7.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.2000735,18.0,5.0,14.0,17.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0030007,15.0,9.0,14.0,15.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.1002352,18.0,16.0,17.0,17.0,1.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.1001853,19.0,18.0,19.0,13.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.1000144,9.0,5.0,8.0,9.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0040431,10.0,2.0,7.0,6.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0060072,10.0,3.0,10.0,10.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.1001675,8.0,4.0,5.0,7.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0030038,27.0,3.0,18.0,18.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.1002198,56.0,34.0,46.0,52.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.1001127,37.0,30.0,27.0,35.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0050254,63.0,33.0,55.0,62.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0060159,45.0,26.0,37.0,42.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.1001555,62.0,45.0,51.0,57.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0040072,24.0,16.0,23.0,24.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0060202,46.0,31.0,33.0,39.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0030386,16.0,9.0,14.0,15.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0040157,67.0,31.0,37.0,52.0,2.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.1001251,44.0,37.0,40.0,43.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0030079,23.0,15.0,19.0,23.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0050177,58.0,32.0,46.0,53.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0030339,33.0,19.0,29.0,33.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.1001046,43.0,27.0,34.0,38.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.3002176,27.0,18.0,26.0,25.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0020363,34.0,21.0,27.0,33.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.1001234,87.0,50.0,40.0,72.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.2001402,52.0,32.0,36.0,47.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0020294,19.0,14.0,17.0,19.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0000042,23.0,14.0,19.0,22.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.2005143,62.0,33.0,50.0,56.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0020442,43.0,21.0,24.0,36.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0020106,21.0,18.0,19.0,20.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.1002593,52.0,25.0,40.0,46.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0020097,33.0,21.0,26.0,27.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0050138,43.0,29.0,32.0,41.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0020312,30.0,21.0,27.0,27.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0040379,40.0,27.0,30.0,39.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0060280,78.0,42.0,59.0,75.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.1002564,58.0,37.0,52.0,55.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0040204,23.0,13.0,20.0,23.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0060301,66.0,34.0,44.0,56.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.1001041,61.0,23.0,41.0,58.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0040140,15.0,7.0,13.0,15.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0030380,21.0,16.0,16.0,20.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.2006352,40.0,25.0,32.0,39.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.1000536,71.0,36.0,51.0,63.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.3000970,65.0,35.0,45.0,60.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.1001518,67.0,41.0,48.0,62.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.1000313,68.0,27.0,41.0,67.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0040088,34.0,24.0,26.0,31.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0060079,72.0,40.0,50.0,61.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.1001293,61.0,29.0,43.0,50.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0050077,76.0,48.0,54.0,71.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.1000582,59.0,40.0,39.0,52.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0050184,47.0,22.0,32.0,38.0,2.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0050008,59.0,31.0,51.0,56.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0030085,29.0,19.0,24.0,28.0,1.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0040286,38.0,22.0,38.0,38.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0000005,44.0,24.0,36.0,43.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0020329,29.0,19.0,25.0,29.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.1000285,48.0,28.0,37.0,40.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0030422,35.0,20.0,28.0,34.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0050310,46.0,29.0,32.0,40.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.1000298,64.0,24.0,45.0,42.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.1000506,73.0,48.0,58.0,68.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0050157,60.0,37.0,44.0,49.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.1001247,71.0,40.0,54.0,63.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.1000564,62.0,28.0,30.0,35.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0030157,36.0,25.0,32.0,35.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0030092,42.0,31.0,34.0,39.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0030045,27.0,18.0,20.0,27.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.3001358,23.0,17.0,22.0,22.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0020057,29.0,15.0,21.0,28.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0000045,45.0,21.0,34.0,36.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.1001135,28.0,22.0,23.0,25.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0060014,75.0,43.0,66.0,63.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.2001104,70.0,39.0,47.0,59.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.1001613,62.0,47.0,55.0,58.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0020340,29.0,19.0,25.0,28.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0020421,18.0,8.0,15.0,16.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0020424,26.0,18.0,21.0,25.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.2000106,41.0,33.0,37.0,41.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.2002266,63.0,38.0,49.0,51.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0030170,34.0,18.0,25.0,30.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.2003648,37.0,28.0,35.0,31.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0060025,47.0,29.0,37.0,42.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.1001823,60.0,41.0,53.0,59.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.1000131,60.0,36.0,50.0,53.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0040360,38.0,22.0,30.0,34.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0030314,24.0,16.0,19.0,23.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0040309,34.0,24.0,31.0,34.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.1001871,55.0,31.0,33.0,44.0,2.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.1000451,62.0,34.0,38.0,61.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0040415,21.0,16.0,18.0,19.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.1001569,83.0,44.0,62.0,67.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.2003703,48.0,32.0,41.0,35.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.1000124,50.0,25.0,40.0,44.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0030176,29.0,22.0,22.0,25.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0030283,54.0,28.0,41.0,47.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.2000862,58.0,36.0,40.0,43.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.2000735,52.0,36.0,46.0,48.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0030007,44.0,27.0,34.0,39.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.1002352,83.0,54.0,60.0,71.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.1001853,64.0,41.0,60.0,59.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.1000144,46.0,32.0,38.0,46.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0040431,33.0,25.0,28.0,27.0,1.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.0060072,58.0,42.0,47.0,53.0,0.0
8.0,PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,10.1371/journal.pbio.1001675,41.0,25.0,27.0,35.0,0.0
