prompt_strategy,sentences_per_prompt,overlap,total_triples,unique_s,unique_p,unique_o,bad_triples
PromptStrategy.PREVIOUS_SENTENCES,7.0,5.0,22.27,4.92,16.44,17.95,0.09
PromptStrategy.PREVIOUS_SENTENCES,7.0,6.0,19.36,4.62,14.4,16.5,0.12
PromptStrategy.PREVIOUS_SENTENCES,8.0,0.0,15.55,3.36,12.51,14.43,0.05
PromptStrategy.PREVIOUS_SENTENCES,8.0,1.0,26.03,4.6,16.78,19.02,0.11
PromptStrategy.PREVIOUS_SENTENCES,8.0,2.0,25.29,4.31,16.83,18.93,0.04
PromptStrategy.PREVIOUS_SENTENCES,8.0,3.0,24.01,4.25,16.41,19.04,0.07
PromptStrategy.PREVIOUS_SENTENCES,8.0,4.0,23.21,4.39,15.8,18.31,0.12
PromptStrategy.PREVIOUS_SENTENCES,8.0,5.0,22.68,4.42,15.61,18.11,0.09
PromptStrategy.PREVIOUS_SENTENCES,8.0,6.0,21.08,4.3,15.25,17.17,0.16
PromptStrategy.PREVIOUS_SENTENCES,8.0,7.0,20.85,4.42,15.03,16.54,0.09
PromptStrategy.PREVIOUS_SENTENCES,9.0,0.0,14.77,3.33,11.49,13.71,0.08
PromptStrategy.PREVIOUS_SENTENCES,9.0,1.0,26.3,4.13,16.58,19.27,0.18
PromptStrategy.PREVIOUS_SENTENCES,9.0,2.0,24.88,4.0,16.24,19.06,0.02
PromptStrategy.PREVIOUS_SENTENCES,9.0,3.0,23.5,3.86,16.24,18.52,0.17
PromptStrategy.PREVIOUS_SENTENCES,9.0,4.0,22.57,4.08,15.21,17.81,0.05
PromptStrategy.PREVIOUS_SENTENCES,9.0,5.0,21.9,4.38,14.8,17.12,0.08
PromptStrategy.PREVIOUS_SENTENCES,9.0,6.0,20.88,4.2,15.15,16.85,0.07
PromptStrategy.PREVIOUS_SENTENCES,9.0,7.0,21.67,3.92,15.52,16.98,0.05
PromptStrategy.PREVIOUS_SENTENCES,9.0,8.0,22.17,4.09,15.24,17.05,0.08
PromptStrategy.PREVIOUS_SENTENCES,10.0,0.0,13.98,3.18,11.23,12.99,0.09
PromptStrategy.PREVIOUS_SENTENCES,10.0,1.0,25.81,4.17,17.14,19.15,0.01
PromptStrategy.PREVIOUS_SENTENCES,10.0,2.0,25.28,3.72,16.34,19.01,0.09
PromptStrategy.PREVIOUS_SENTENCES,10.0,3.0,23.37,3.75,15.56,18.04,0.02
PromptStrategy.PREVIOUS_SENTENCES,10.0,4.0,22.45,3.87,14.76,17.41,0.07
PromptStrategy.PREVIOUS_SENTENCES,10.0,5.0,22.22,4.01,15.14,17.27,0.12
PromptStrategy.PREVIOUS_SENTENCES,10.0,6.0,20.46,4.13,14.64,16.52,0.06
PromptStrategy.PREVIOUS_SENTENCES,10.0,7.0,22.33,3.73,14.83,17.48,0.1
PromptStrategy.PREVIOUS_SENTENCES,10.0,8.0,22.67,3.95,15.49,17.36,0.13
PromptStrategy.PREVIOUS_SENTENCES,10.0,9.0,23.48,4.39,15.74,17.68,0.19
PromptStrategy.SECTION_CONTENTS,0.0,0.0,14.01,2.84,11.39,13.03,0.14
